t;B1;B2;B3;B4;B5;B6;B7;B8;B9
1.32;1.0715408726272972;1.201844110897678;1.1882013073922846;1.0250537268702258;0.9361190599715257;1.0317342327507404;1.1797684849087313;1.145662995267592;1.1611458342276029
1.33;1.067477999723592;1.193222663393223;1.1797827734241841;1.0181160926503388;0.9297833417022245;1.0211850824144388;1.1697772678650904;1.1350217292156788;1.1509620353538672
1.34;1.0626988059971727;1.184099662513577;1.1704436152663469;1.0101050785917762;0.9224673710820137;1.0092192863248375;1.159019965836346;1.123395554985782;1.1395909063962326
1.35;1.0572783933034453;1.1746193452439189;1.1603215293377118;1.0011515989619832;0.9142907041280707;0.9960211990026877;1.147678470446483;1.1109823922877156;1.127216372200719
1.36;1.051297955908792;1.164921842062863;1.149557755773111;0.9913929791381744;0.9053787517331694;0.9817817394961036;1.1359327370353665;1.09798079228864;1.1140265446754751
1.37;1.0448419122875763;1.155139249612244;1.138293177839053;0.9809688251065547;0.8958590075312016;0.966693270521873;1.123955708484265;1.0845844411378838;1.1002086028854077
1.38;1.0379953769074752;1.1453926583004392;1.1266650990080622;0.9700174804868873;0.8858578123137679;0.9509452819858685;1.1119092871022718;1.0709776867286374;1.0859445416163815
1.39;1.0308420755009324;1.1357902491393543;1.114805176609029;0.958673205923042;0.8754977781395687;0.9347210805871359;1.0999415544015427;1.0573323653862665;1.071408168048679
1.4;1.023462828153296;1.1264267697344428;1.1028397909947494;0.9470642776355621;0.8648960518584169;0.9181958820822108;1.0881857378202364;1.0438066238248147;1.056764313738987
1.41;1.0159342962947275;1.117383657842253;1.090889553722435;0.935311411071044;0.8541628755263433;0.9015351374319704;1.0767597006799632;1.0305439776586196;1.0421677545449124
1.42;1.0083279096667788;1.1087300681003605;1.079066461766866;0.923526321491757;0.8434002718798721;0.8848926535857989;1.0657658158735783;1.0176720422984271;1.0277607679422764
1.43;1.0007093241573117;1.1005242967272362;1.0674721451583618;0.9118110046966673;0.8327013874623956;0.8684096082062782;1.0552915180559657;1.0053021311654269;1.0136717311426786
1.44;0.9931387196404309;1.092813331102036;1.0561971356690825;0.9002579513860562;0.8221506883903077;0.8522145099331075;1.045408815291165;0.9935286499803507;1.0000144303290845
1.45;0.9856723895367918;1.0856321675666336;1.0453207095503434;0.8889516215773529;0.8118253068470711;0.8364242604948914;1.036173897859793;0.9824288747690357;0.9868880193093562
